"planet_idx"	"PLANET"	"Star_number"	"MASS"	"DENSITY (EARTH)"	"Radius"	"TERRAIN"	"CLIMATE"
902	"Fang Epsilon"	5783	1.29	0.843	na	"cliff, rocky canyon, ice canyon, cave, rocky island"	"temperate, subartic, artificial temperate"
903	"Fang Psi"	5783	6.56	0.394	2.55	"island, urban, plain, canyons, cave, field, savanna"	"windy, frigid, artificial temperate, superheated, temperate, hot, artic"
904	"Fang Omicron"	5783	9.29	1.066	2.06	"cityscape, volcano, urban, vine"	"arid, frigid, subartic"
905	"Auroraflame Nyxios"	493	4	1.172	1.51	"jungle, ice canyon"	"superheated, frozen, artic"
906	"Inazuma Hestian"	8026	5.64	0.6	2.11	"valley, canyons, verdant, cityscape, fungus forest"	"artic, rocky, temperate, frozen, humid, artificial temperate"
907	"Sheratan Oranos"	7059	2.91	1.104	1.38	"cave, ice canyon"	"frozen"
908	"Vortexian Nu"	6185	na	1.19	1.15	"mountain, forest, rocky canyon"	"rocky, temperate"
909	"Vortexian Pi"	6185	4.69	1.03	1.66	"grassland"	"frigid, artic, humid, artificial temperate, windy, arid"
910	"Paikauhale Eosian"	3905	na	1.282	1.85	"lava river, canyons, ice canyon, mountain, cave"	"arid, artificial temperate, frozen, windy"
911	"Quasarion Upsilon"	1483	9.41	0.749	2.32	"toxic cloudsea"	"frozen, artificial temperate"
912	"Quasarion Omega"	1483	3.95	0.781	1.72	"glacier, desert, rocky canyon, river"	"subartic, windy, artificial temperate, superheated"
913	"Quasarion Phi"	1483	3.41	0.863	1.58	"hill, fungus forest, river, desert"	"superheated, artificial temperate, windy, artic, tropical, frigid"
914	"Kang Prime"	1918	3.17	1.218	1.38	"grassy hill, ice cave"	"temperate, frigid, subartic, tropical"
915	"Nebulion XIX"	8328	na	1.338	1.05	"ice canyon, urban, ice cave, field, plateau, island"	"tropical, arid, humid, subartic, artic"
916	"Nebulion IX"	8328	2.09	0.678	1.46	"island, urban, valley"	"windy, arid, superheated, tropical"
917	"Nebulion XXI"	8328	4.65	0.969	1.69	"island, valley, swamp, glacier, rocky canyon"	"temperate, artificial temperate, tropical, frozen, subartic, arid"
918	"Nebulion XXIII"	8328	3.65	1.319	na	"grassland, cave, verdant, vine, cliff"	"temperate, hot, frigid, arid"
919	"Antares Omega"	4462	1.69	0.823	1.27	"rocky desert, barren"	"arid, tropical, hot"
920	"Cerulean Cryptic Xi"	9979	2.13	1.08	1.25	"toxic cloudsea, glacier, jungle"	"artic, superheated, temperate, subartic, rocky"
921	"Cerulean Cryptic Psi"	9979	0.93	1.109	0.94	"grassland, savanna, hill, mountain, toxic cloudsea, fungus forest"	"tropical, frozen, arid, windy, humid"
922	"Spectral Threshold Theta"	6277	1.2	1.162	1.01	"lava river"	"arid, superheated, windy, tropical, hot"
923	"Spectral Threshold Omicron"	6277	0.93	1.041	0.96	"cliff"	"windy, frozen, frigid, superheated, arid"
924	"Alrakis Decimal"	3069	3.35	0.404	2.02	"plateau, glacier"	"subartic, frozen, rocky, hot"
925	"Alrakis Tertial"	3069	0.73	0.995	0.9	"plateau, rainforest, rock arche, lava river"	"artic, superheated, hot, frozen, humid, arid"
926	"Geisha's Whisper Ba"	3022	1.08	0.628	1.2	"plateau, glacier, ocean, desert, cliff, plain, sea, volcano"	"rocky, frozen, artic, temperate, hot"
927	"Geisha's Whisper Shi"	3022	1.43	1.336	1.02	"verdant, ice canyon, glacier, savanna, urban"	"frozen, tropical, arid, superheated"
928	"Inari's Cascade Delta"	5609	1.37	0.399	1.51	"rock arche, lava river, glacier, tundra, field"	"artificial temperate, frigid, arid, hot"
929	"Obelisk Shadows XIV"	8656	2.23	0.901	1.35	"lakes"	"frigid, windy, temperate, rocky, hot, artic"
930	"Obelisk Shadows VIII"	8656	4	1.122	1.53	"rock arche, island"	"rocky, windy, arid, tropical"
931	"Jabbah Nonal"	5031	2.55	0.849	1.44	"field, volcano, verdant, grassy hill, mountain"	"tropical, frozen, windy, humid, arid"
932	"Jabbah Octal"	5031	1.34	1.482	0.97	"plain, canyons, rocky canyon, sea"	"subartic, tropical, temperate, frigid, frozen, windy, humid"
933	"Jabbah Septimal"	5031	4.46	0.714	1.84	"lakes"	"humid, hot, tropical, rocky"
934	"Jabbah Undecimal"	5031	5.75	0.911	1.85	"lakes"	"superheated, artic, frigid, rocky"
935	"Darkonium Janusian"	1685	1.58	1.228	1.09	"valley"	"frigid, hot, rocky, arid, artificial temperate, windy, humid"
936	"Darkonium Dionysios"	1685	4.85	0.66	1.94	"vine"	"artificial temperate, hot"
937	"Yozora Prime"	9952	1.82	0.493	1.55	"plain, reef, cave, grassy hill"	"artic, temperate, humid, frozen"
938	"Yozora Quartal"	9952	6.09	1.123	1.76	"cliff, lakes, rocky canyon, field"	"frozen, tropical, subartic"
939	"Kaus Australis III"	2307	2.12	1.015	1.28	"cityscape"	"humid, windy"
940	"Kaus Australis II"	2307	4.91	1.045	1.67	"valley, volcano, rocky canyon"	"arid, artic, frigid, windy, subartic"
941	"Aspidiske Prime"	5902	5.49	0.748	1.94	"grassland, ocean, rocky desert, toxic cloudsea"	"temperate, windy, frozen, rocky, subartic"
942	"Menkent Mu"	3369	2.06	0.424	1.69	"savanna"	"frozen, subartic, rocky, hot"
943	"Gacrux Nu"	9134	na	0.851	1.5	"lakes, verdant, rock arche, grassy hill, cliff, rocky island, city"	"humid, artificial temperate, temperate, windy, arid, subartic"
944	"Lunaris Cerberian"	4604	2.3	1.302	1.21	"river, swamp, verdant"	"humid, artificial temperate, frozen, windy"
945	"Cosmogon Enigma Qi"	4140	6.35	0.859	1.95	"mountain, cave, plateau, rainforest, ice canyon, rocky island"	"superheated, humid, arid, artic"
946	"Cosmogon Enigma Shi"	4140	1.28	0.333	1.57	"cliff"	"windy, subartic"
947	"Parumleo Epsilon"	9432	8.02	0.74	2.21	"rock arche"	"windy, frigid, superheated"
948	"Jishui Septimal"	5643	3	1.093	na	"scrubland, rock arche, grassy hill, tundra, glacier, canyons, sinkholes, urban"	"humid, temperate, artic, rocky, arid, superheated, artificial temperate"
949	"Jishui Quintal"	5643	6.6	1.181	1.77	"plateau, tundra, sea"	"frozen, windy, frigid"
950	"Stardrax Iota"	8378	0.56	0.595	0.98	"desert, mountain, canyons, verdant, jungle, forest, rainforest, fungus forest"	"frigid, subartic, artic, superheated, tropical"
951	"Stardrax Epsilon"	8378	1	1.033	0.99	"hill, plain, island, rocky island, ocean"	"humid, hot, subartic, frigid"
952	"Lucilinburhuc XV"	6588	1.02	1.161	0.96	"barren, savanna, glacier"	"subartic, frigid, artificial temperate, frozen, arid, superheated, temperate"
953	"Obsidian Whispers Wu"	8975	1.42	1.06	1.1	"cave, river, plateau, lakes"	"windy, frozen, hot, subartic, artic, arid"
954	"Obsidian Whispers Liu"	8975	4.13	1.023	1.59	"rock arche, rocky desert"	"windy, hot, artificial temperate, artic"
955	"Geisha's Echo Qi"	3222	6.96	0.721	2.13	"savanna, rocky desert, ice cave"	"artificial temperate, artic, frigid, superheated"
956	"Geisha's Echo Yi"	3222	0.84	1.222	0.88	"urban, reef, rainforest"	"humid, artic, rocky, hot"
957	"Geisha's Echo Er"	3222	1.16	0.76	1.15	"forest"	"rocky, frigid, frozen, humid"
958	"Geisha's Echo Si"	3222	0.73	0.923	0.92	"urban, desert, ocean, cliff, sinkholes"	"subartic, superheated, humid, artic, hot, frigid"
959	"Hayabusa Nexus Selenean"	4256	1.18	1.085	1.03	"urban"	"windy, artificial temperate, subartic, arid, frigid"
960	"Eternal Murmurs Nonal"	5396	0.42	1.02	na	"cliff"	"humid, artificial temperate, frozen, hot, frigid, subartic"
961	"Eternal Murmurs Prime"	5396	5.61	1.206	1.67	"savanna, rainforest, cliff, vine"	"humid, rocky, temperate, arid"
962	"Eternal Murmurs Quartal"	5396	3.86	0.969	1.59	"forest, cityscape"	"windy, frigid, artic, rocky"
963	"Musica XX"	6025	6.64	1.034	1.86	"ash, ocean, sinkholes, rocky island, mountain"	"windy, temperate, superheated, arid"
964	"Musica V"	6025	0.92	1.192	0.92	"valley, vine, field"	"temperate, rocky, artificial temperate, humid"
965	"Stormweaver XVI"	5253	4.56	0.871	1.74	"forest, barren"	"arid, temperate, subartic, rocky"
966	"Gienah Sextant"	6308	1.54	0.707	1.3	"fungus forest"	"tropical, frozen"
967	"Gienah Undecimal"	6308	7.99	1.274	1.84	"cliff, grassy hill"	"temperate"
968	"Obelisk Whisper Oranos"	1178	1	0.89	1.04	"valley, rocky desert"	"tropical, windy, artic"
969	"Anser Quintal"	3666	3.34	0.581	1.79	"field"	"tropical, frigid, frozen"
970	"Anser Undecimal"	3666	1.14	1.052	1.03	"cityscape, island, barren"	"frigid, arid"
971	"Anser Octal"	3666	1.07	0.804	1.1	"city, cave, cityscape"	"subartic, frigid"
972	"Cosmaraud Echoian"	8187	4.06	0.895	1.66	"hill"	"windy, tropical, arid"
973	"Guniibuu Eta"	4041	0.72	0.869	0.94	"island, rainforest, toxic cloudsea, bog, cliff"	"frozen, humid, temperate, windy"
974	"Galactic Prism Typhonian"	7547	7.07	0.942	1.96	"vine, island, plateau, river, cliff"	"artificial temperate, frigid, artic"
975	"Sekhmet's Mirage Typhonian"	4466	1.98	0.614	1.48	"rock arche"	"temperate, tropical"
976	"Kaminari Enigma XII"	6361	2.52	0.775	1.48	"valley, jungle, verdant"	"tropical, hot, superheated"
977	"Kaminari Enigma XV"	6361	1.53	1.157	1.1	"bog, grassland, jungle"	"rocky, superheated, temperate, windy, artic"
978	"Kaminari Enigma XIX"	6361	2.14	0.446	1.69	"field, valley, sea, bog"	"temperate, frozen, hot, windy, artificial temperate"
979	"Kaminari Enigma XXIII"	6361	1.45	1.371	1.02	"forest"	"rocky, superheated, artic, temperate"
980	"Aetherionyx Titanos"	7307	6.02	0.816	1.95	"cliff, desert, grassland, canyons"	"humid, frozen, rocky, tropical"
981	"Wezen Undecimal"	3813	7.33	1.235	1.81	"hill, lakes, rocky canyon, desert, city, ash, canyons"	"windy, temperate, hot, frigid, subartic, rocky, superheated"
982	"Exoplantra Omega"	5741	1.07	0.915	1.05	"plain, vine, barren, canyons"	"rocky, subartic, humid, artic, arid, artificial temperate"
983	"Stellarnox XXI"	7457	5.44	0.611	na	"bog, plateau"	"subartic, temperate, artificial temperate, artic, humid"
984	"Maia Astraeos"	9525	1.4	0.763	1.22	"desert, cave, urban"	"superheated, subartic"
985	"Comet Veil Upsilon"	3910	6.26	0.728	2.05	"reef, cityscape"	"frigid, hot, artic, tropical"
986	"Comet Veil Pi"	3910	na	0.91	1.95	"city, plain, hill, plateau, rocky desert"	"windy, arid, temperate, superheated, artic"
987	"Comet Veil Omicron"	3910	5.89	1.291	1.66	"urban"	"artificial temperate"
988	"Aldhibah Psychean"	1924	6.67	0.683	2.14	"grassy hill"	"hot"
